,2015-8-24,http://www.apinpai.com/,我;张国荣;80;励志,  273,1447.1700
60,2015-12-16,http://www.movie.com/dor/,《紫霞》;2015.12.11;2015.12.27;映代码公司;苗述;徐洁儿，袁晓超，刘承俊，洪天照，刘永健，谭赫，肖红，金晶，谢沅江;爱情，奇幻;票房（万）49.1 ;2.4 ;,,
61,2015-6-17,http://www.waaku.com/,像我一样骄傲;赵传;80;励志,21.0,779.36
62,2015-5-24,http://beijing.faxinxi.cn/,路...一直都在;陈奕迅;90;励志,37.0,1008.89
63,2015-12-25,http://www.movie.com/bor/12386／,《少年班》;2015.6.19;2015.7.19;工夫影业；华谊兄弟;肖洋;孙红雷，周冬雨，董子健，王栎鑫，李佳奇，夏天，王森;青春、校园、喜剧;票房（万）5068.7 ;5.7 ;,,
64,2015-8-14,http://www.ezxun.com/,my way;张敬轩;90;励志,130.0,1588.27
65,2015-5-17,http://www.wanxn.com/,逃脱;李玟;90;伤感,179.0,516.83
66,2015-7-31,http://www.qiyi123.com/,匿名的好友;杨丞琳;90;伤感,224.0,637.59
67,2015-3-6,http://www.mouxiao.com/,逃脱;李玟;90;伤感,130.0,1564.34
68,2015-6-15,http://www.qudee.com/,来来回回;陈楚生&spy.c;90;伤感,202.0,1538.98
69,2015-8-29,http://www.wanxn.com/,story of my life;bon jovi;90;励志,108.0,1776.03
70,2015-8-10,http://www.mouxiao.com/,永远不要说放弃;童安格;80;励志,38.0,1116.06
71,2015-3-26,http://www.qudee.com/,无悔这一生;beyond;80;励志,278.0,337.85
72,2015-7-13,http://www.qiyi123.com/,拔萝卜;小蓓蕾组合;90;儿歌,176.0,728.68
73,2015-7-9,http://info.tianya.cn,采蘑菇的小姑娘;小蓓蕾组合;90;儿歌,46.0,936.64
74,2015-8-28,http://www.favolist.com/,忘记拥抱;a-lin;80;伤感,61.0,1241.04
75,2015-12-6,http://www.movie.com/dor/,《分手再说我爱你》;2015.12.24;2016.1.17;爱奇艺影业（北京）有限公司、太阳娱乐文化有限公司、无限动力实业有限公司;叶念琛;方力申，邓丽欣;爱情、剧情;票房（万）1273.2 ;6.5 ;,,
76,2015-5-3,http://www.010y.com/,数鸭子;少儿歌曲;90;儿歌,219.0,1274.04
77,2015-3-21,http://www.denghuo.com/,匿名的好友;杨丞琳;90;伤感,202.0,1866.28
78,2015-5-24,http://www.qudee.com/,一起走过的日子;刘德华;80;伤感,57.0,416.67
79,2015-6-16,http://www.favolist.com/,空壳;陈慧敏;90;伤感,221.0,1886.64
80,2015-6-15,http://www.010y.com/,无悔这一生;beyond;80;励志,72.0,555.2
81,2015-12-27,http://www.movie.com/dor/,《爱情魔发师》;2015.7.17;2015.8.2;北京仁和博纳文化传媒有限公司;倾海;游游，张燃，朱咪咪，黄一飞，崔浩博，王子轩;喜剧 / 爱情;票房（万）20.3 ;3.8 ;,,
82,2015-5-11,http://www.denghuo.com/,一起走过的日子;刘德华;80;伤感,38.0,844.39
83,2015-5-3,http://www.waaku.com/,壮志雄心;李克勤;90;励志,241.0,496.08
84,2015-12-21,http://www.movie.com/bor/12386／,《将错就错》;2015.3.5;2015.3.29;中国电影股份有限公司等;王宁;小沈阳，田亮，陈小春，熊黛林;爱情、喜剧;票房（万）3937.4 ;3.8 ;,,
85,2015-3-11,http://bj.454.cn/,数鸭子;少儿歌曲;90;儿歌,125.0,718.7
86,2015-3-11,http://info.tianya.cn,我心是海洋;蔡琴;80;励志,39.0,354.67
87,2015-6-27,http://www.waaku.com/,让我们荡起双桨;小蓓蕾组合;90;儿歌,249.0,1578.16
88,2015-5-13,http://www.qiyi123.com/,我心是海洋;蔡琴;80;励志,198.0,239.63
89,2015-7-12,http://info.tianya.cn,拔萝卜;小蓓蕾组合;90;儿歌,36.0,1949.89
90,2015-3-11,http://bj.qu114.com/,路...一直都在;陈奕迅;90;励志,146.0,1503.6
91,2015-5-3,http://www.qudee.com/,借我;谢春花;90;伤感,62.0,1336.75
92,2015-5-18,http://www.mouxiao.com/,我心是海洋;蔡琴;80;励志,221.0,825.71
93,2015-6-26,http://www.qudee.com/,小兔子乖乖;小蓓蕾组合;90;儿歌,177.0,106.05
94,2015-6-10,http://www.waaku.com/,story of my life;bon jovi;90;励志,262.0,816.02
95,2015-12-11,http://www.movie.com/dor/,《失孤》;2015.3.20;2015.5.3;华谊兄弟传媒集团、源合圣影视、映艺娱乐;彭三源;刘德华，井柏然，梁家辉，吴君如;剧情、社会;票房（万）21617.9 ;6.4 ;,,
96,2015-7-20,http://www.wuhan58.com/index.php,感恩的心;欧阳菲菲;90;励志,139.0,1453.19
97,2015-12-22,http://www.movie.com/dor/,《简单爱》;2015.7.3;2015.7.19;中视合利（北京）文化投资有限公司一鸣影业公司（美国）;崔龄燕;许绍洋，张琳，谢雨芩，石铭熙;都市浪漫爱情喜剧;票房（万）21.7 ;,,
98,2015-7-24,http://www.denghuo.com/,最冷一天;陈奕迅;90;伤感,117.0,274.86
99,2015-7-6,http://www.yifawang.cn/,路...一直都在;陈奕迅;90;励志,239.0,266.11
100,2015-6-25,http://www.qiyi123.com/,the climb;miley cyrus;80;励志,276.0,1133.88
101,2015-4-19,http://beijing.faxinxi.cn/,小兔子乖乖;小蓓蕾组合;90;儿歌,143.0,188.45
102,2015-5-3,http://www.mouxiao.com/,星;邓丽君;80;励志,262.0,877.64
103,2015-8-28,http://www.favolist.com/,爱让世界更美;童安格;90;励志,105.0,1922.95
104,2015-4-20,http://www.apinpai.com/,一起走过的日子;刘德华;80;伤感,8.0,1284.48
105,2015-7-28,http://www.apinpai.com/,从头再来;刘欢;90;励志,107.0,912.19
106,2015-7-12,http://www.mouxiao.com/,我心是海洋;蔡琴;80;励志,27.0,1738.16
107,2015-6-16,http://www.ezxun.com/,让我们荡起双桨;小蓓蕾组合;90;儿歌,98.0,1931.59
108,2015-8-25,http://www.99inf.com/,小兔子乖乖;小蓓蕾组合;90;儿歌,115.0,1428.86
109,2015-5-13,http://www.wanxn.com/,来来回回;陈楚生&spy.c;90;伤感,282.0,731.59
110,2015-4-17,http://info.tianya.cn,匿名的好友;杨丞琳;90;伤感,58.0,1727.31
111,2015-5-21,http://www.qudee.com/,路...一直都在;陈奕迅;90;励志,138.0,445.13
112,2015-6-19,http://www.qiyi123.com/,从头再来;刘欢;90;励志,79.0,154.96
113,2015-3-27,http://www.apinpai.com/,采蘑菇的小姑娘;小蓓蕾组合;90;儿歌,144.0,1323.2
114,2015-7-26,http://beijing.hand2hand.cn/,我;张国荣;80;励志,21.0,1660.76
115,2015-12-24,http://www.movie.com/bor/12386／,《天将雄师》;2015.2.19;2015.4.6;耀莱文化，华谊兄弟，上海电影集团;李仁港;成龙，约翰·库萨克，阿德里安·布劳迪，崔始源 ，林鹏，王若心，筷子兄弟，西蒙子，冯绍峰，朱佳煜;动作，古装，剧情，历史;票房（万）74430.2 ;,,
116,2015-7-27,http://www.ezxun.com/,屋顶;温岚;80;励志,273.0,358.45
117,2015-8-21,http://www.wuhan58.com/index.php,来来回回;陈楚生&spy.c;90;伤感,101.0,434.14
118,2015-4-5,http://www.denghuo.com/,太阳星辰;张学友;80;励志,267.0,1843.37
119,2015-12-7,http://www.movie.com/bor/12386／,《一念天堂》;2015.12.31;2016.2.13;天河盛宴，凯德盛世（北京）投资管理有限公司，和云筹(北京)网络科技有限公司;张承;沈腾，马丽，林雪，杜晓宇，王子子，李元鹏;喜剧;票房（万）8279.5 ;5.2 ;,,
120,2015-12-4,http://www.movie.com/dor/,《一路惊喜》;2015.2.6;2015.3.8;万达影视传媒有限公司;金依萌/潘安子/章家瑞/宋迪;郭采洁，萧敬腾，赵丽颖，凤小岳，夏雨，梅婷，蓝燕，林家栋，张译，大鹏，蒋劲夫，孙艺洲，张辛苑，阚清子，刘维，乔杉;喜剧/爱情/家庭;票房（万）6974.6 ;5.0 ;,,
121,2015-3-4,http://www.qiyi123.com/,firework;katy perry;90;励志,183.0,830.85
122,2015-5-2,http://www.jieu.com/,从头再来;刘欢;90;励志,54.0,829.02
123,2015-7-25,http://www.qudee.com/,路...一直都在;陈奕迅;90;励志,203.0,914.6
124,2015-8-14,http://www.qudee.com/,太阳星辰;张学友;80;励志,199.0,1498.96
125,2015-5-19,http://www.yifawang.cn/,永远不要说放弃;童安格;80;励志,119.0,599.61
126,2015-7-31,http://www.waaku.com/,一起走过的日子;刘德华;80;伤感,61.0,781.31
127,2015-8-29,http://www.favolist.com/,匿名的好友;杨丞琳;90;伤感,175.0,1244.63
128,2015-5-16,http://bj.454.cn/,拔萝卜;小蓓蕾组合;90;儿歌,152.0,437.01
129,2015-8-19,http://www.alifenfen.com/,壮志雄心;李克勤;90;励志,74.0,1388.67
130,2015-7-29,http://www.mouxiao.com/,像我一样骄傲;赵传;80;励志,28.0,503.23
131,2015-8-10,http://www.yifawang.cn/,firework;katy perry;90;励志,24.0,1454.41
132,2015-5-3,http://www.ezxun.com/,借我;谢春花;90;伤感,201.0,1098.6
133,2015-4-19,http://bj.qu114.com/,像我一样骄傲;赵传;80;励志,258.0,1419.87
134,2015-4-18,http://beijing.hand2hand.cn/,永远不要说放弃;童安格;80;励志,240.0,1106.27
135,2015-3-27,http://info.tianya.cn,像我一样骄傲;赵传;80;励志,134.0,1145.55
136,2015-7-14,http://www.jieu.com/,壮志雄心;李克勤;90;励志,8.0,861.55
137,2015-12-17,http://www.movie.com/bor/12386／,《最美的时候遇见你》;2015.12.11;2015.12.27;广州遐迩文化传播有限公司;吴娜;谭松韵，罗云熙;校园，爱情，喜剧;票房（万）156.2 ;5.5 ;,,
138,2015-4-21,http://www.mouxiao.com/,路...一直都在;陈奕迅;90;励志,25.0,150.57
139,2015-12-22,http://www.movie.com/bor/12386／,《最美的时候遇见你》;2015.12.11;2015.12.27;广州遐迩文化传播有限公司;吴娜;谭松韵，罗云熙;校园，爱情，喜剧;票房（万）156.2 ;5.5 ;,,
140,2015-4-25,http://www.yifawang.cn/,来来回回;陈楚生&spy.c;90;伤感,60.0,705.84
141,2015-6-12,http://beijing.hand2hand.cn/,同道中人;张国荣;80;励志,52.0,1679.38
142,2015-6-14,http://www.waaku.com/,story of my life;bon jovi;90;励志,67.0,1657.65
143,2015-5-22,http://www.wanxn.com/,无悔这一生;beyond;80;励志,90.0,1076.7
144,2015-7-11,http://www.denghuo.com/,光辉岁月;beyond;80;励志,231.0,467.73
145,2015-3-7,http://info.tianya.cn,爱让世界更美;童安格;90;励志,29.0,1753.63
146,2015-3-1,http://beijing.hand2hand.cn/,从头再来;刘欢;90;励志,245.0,1628.87
147,2015-12-29,http://www.movie.com/bor/,《破风》;2015.8.7;2015.9.13;恒大影视文化有限公司;林超贤;彭于晏，窦骁，崔始源，王珞丹，陈家乐，欧阳娜娜，连凯;剧情、运动、爱情;票房（万）14529.1 ;7.2 ;,,
148,2015-5-17,http://www.apinpai.com/,永远不要说放弃;童安格;80;励志,286.0,1927.41
149,2015-12-24,http://www.movie.com/dor/,《怦然星动》;2015.12.3;2016.1.10;欢瑞世纪，嘉行传媒，青春光线;陈国辉;杨幂，李易峰，陈数，王耀庆，迪丽热巴，张云龙;都市，爱情，喜剧;票房（万）15973.9 ;4.3 ;,,
150,2015-6-6,http://www.99inf.com/,我;张国荣;80;励志,120.0,1609.81
151,2015-3-14,http://www.qiyi123.com/,我;张国荣;80;励志,93.0,230.89
152,2015-7-7,http://www.mouxiao.com/,采蘑菇的小姑娘;小蓓蕾组合;90;儿歌,223.0,965.77
153,2015-7-22,http://info.tianya.cn,来来回回;陈楚生&spy.c;90;伤感,46.0,164.25
154,2015-12-20,http://www.movie.com/dor/,《百团大战》;2015.8.28;2015.10.11;八一电影制片厂；中国电影股份有限公司；北京紫禁城影业公司;宁海强，张玉中;陶泽如，刘之冰，印小天，吴越，唐国强，王伍福;战争/历史;票房（万）41367.3 ;4.7 ;,,
155,2015-3-3,http://www.qiyi123.com/,太阳星辰;张学友;80;励志,233.0,1164.78
156,2015-8-3,http://www.waaku.com/,路...一直都在;陈奕迅;90;励志,215.0,417.31
157,2015-5-14,http://beijing.hand2hand.cn/,加油;林俊杰/mc hotdog;90;励志,239.0,1635.33
158,2015-12-9,http://www.movie.com/dor/,《紫霞》;2015.12.11;2015.12.27;映代码公司;苗述;徐洁儿，袁晓超，刘承俊，洪天照，刘永健，谭赫，肖红，金晶，谢沅江;爱情，奇幻;票房（万）49.1 ;2.4 ;,,
159,2015-5-10,http://www.wuhan58.com/index.php,光辉岁月;beyond;80;励志,103.0,572.39
160,2015-12-10,http://www.movie.com/bor/,《怦然星动》;2015.12.3;2016.1.10;欢瑞世纪，嘉行传媒，青春光线;陈国辉;杨幂，李易峰，陈数，王耀庆，迪丽热巴，张云龙;都市，爱情，喜剧;票房（万）15973.9 ;4.3 ;,,
161,2015-8-18,http://beijing.hand2hand.cn/,the climb;miley cyrus;80;励志,19.0,1491.87
162,2015-6-4,http://www.010y.com/,星;邓丽君;80;励志,255.0,1069.13
163,2015-4-1,http://bj.qu114.com/,让我们荡起双桨;小蓓蕾组合;90;儿歌,84.0,1903.47
164,2015-6-7,http://www.yifawang.cn/,来来回回;陈楚生&spy.c;90;伤感,47.0,1858.53
165,2015-8-20,http://bj.454.cn/,无悔这一生;beyond;80;励志,236.0,1991.99
166,2015-8-10,http://www.yifawang.cn/,我心是海洋;蔡琴;80;励志,60.0,1875.54
167,2015-12-20,http://www.movie.com/dor/,《简单爱》;2015.7.3;2015.7.19;中视合利（北京）文化投资有限公司一鸣影业公司（美国）;崔龄燕;许绍洋，张琳，谢雨芩，石铭熙;都市浪漫爱情喜剧;票房（万）21.7 ;,,
168,2015-8-27,http://www.yifawang.cn/,借过;容祖儿;90;伤感,67.0,362.55
169,2015-7-2,http://www.wuhan58.com/index.php,加油;林俊杰/mc hotdog;90;励志,51.0,1850.48
170,2015-8-10,http://www.ezxun.com/,感恩的心;欧阳菲菲;90;励志,63.0,659.61
171,2015-6-16,http://www.denghuo.com/,空壳;陈慧敏;90;伤感,24.0,1765.96
172,2015-7-16,http://www.favolist.com/,空壳;陈慧敏;90;伤感,82.0,652.14
173,2015-12-7,http://www.movie.com/bor/12386／,《前任2：备胎反击战》;2015.11.6;2015.12.20;华谊兄弟传媒股份有限公司、新圣堂影业;田羽生;郑恺，郭采洁，张艺兴，王传君;爱情，喜剧;票房（万）25200.2 ;5.0 ;,,
174,2015-6-22,http://beijing.faxinxi.cn/,壮志雄心;李克勤;90;励志,53.0,1992.64
175,2015-8-27,http://www.alifenfen.com/,感恩的心;欧阳菲菲;90;励志,155.0,230.95
176,2015-4-29,http://www.yifawang.cn/,采蘑菇的小姑娘;小蓓蕾组合;90;儿歌,101.0,395.68
177,2015-3-2,http://www.qiyi123.com/,借过;容祖儿;90;伤感,30.0,99.01
178,2015-12-21,http://www.movie.com/dor/,《闯入者》;2015.4.30;2015.5.24;冬春文化、银润传媒、合润传媒、安乐电影、引力影视投资、重庆电影集团;王小帅;吕中，秦海璐，冯远征，秦昊，石榴;剧情、犯罪;票房（万）1003.6 ;7.6 ;,,
179,2015-12-3,http://www.movie.com/bor/12386／,《破风》;2015.8.7;2015.9.13;恒大影视文化有限公司;林超贤;彭于晏，窦骁，崔始源，王珞丹，陈家乐，欧阳娜娜，连凯;剧情、运动、爱情;票房（万）14529.1 ;7.2 ;,,
180,2015-3-8,http://beijing.faxinxi.cn/,我;张国荣;80;励志,43.0,419.87
181,2015-12-16,http://www.movie.com/bor/12386／,《恶棍天使》;2015.12.24;2016.2.13;天津橙子映像传媒有限公司、北京光线影业有限公司;邓超、俞白眉;邓超，孙俪，梁超，代乐乐;喜剧/荒诞/爱情;票房（万）64959.0 ;4.0 ;,,
182,2015-3-26,http://www.jieu.com/,采蘑菇的小姑娘;小蓓蕾组合;90;儿歌,86.0,456.95
183,2015-7-28,http://www.010y.com/,光辉岁月;beyond;80;励志,279.0,936.06
184,2015-5-21,http://www.qiyi123.com/,来来回回;陈楚生&spy.c;90;伤感,99.0,1506.49
185,2015-5-4,http://info.tianya.cn,感恩的心;欧阳菲菲;90;励志,20.0,1615.61
186,2015-5-10,http://beijing.hand2hand.cn/,借过;容祖儿;90;伤感,8.0,766.56
187,2015-8-25,http://www.yifawang.cn/,屋顶;温岚;80;励志,239.0,142.87
188,2015-12-20,http://www.movie.com/bor/,《闯入者》;2015.4.30;2015.5.24;冬春文化、银润传媒、合润传媒、安乐电影、引力影视投资、重庆电影集团;王小帅;吕中，秦海璐，冯远征，秦昊，石榴;剧情、犯罪;票房（万）1003.6 ;7.6 ;,,
189,2015-5-13,http://www.010y.com/,感恩的心;欧阳菲菲;90;励志,73.0,133.21
190,2015-5-11,http://www.jieu.com/,the climb;miley cyrus;80;励志,83.0,1230.69
191,2015-7-26,http://www.jieu.com/,story of my life;bon jovi;90;励志,271.0,1896.66
192,2015-12-22,http://www.movie.com/dor/,《天将雄师》;2015.2.19;2015.4.6;耀莱文化，华谊兄弟，上海电影集团;李仁港;成龙，约翰·库萨克，阿德里安·布劳迪，崔始源 ，林鹏，王若心，筷子兄弟，西蒙子，冯绍峰，朱佳煜;动作，古装，剧情，历史;票房（万）74430.2 ;,,
193,2015-4-14,http://www.jieu.com/,firework;katy perry;90;励志,81.0,1719.9
194,2015-12-7,http://www.movie.com/bor/,《前任2：备胎反击战》;2015.11.6;2015.12.20;华谊兄弟传媒股份有限公司、新圣堂影业;田羽生;郑恺，郭采洁，张艺兴，王传君;爱情，喜剧;票房（万）25200.2 ;5.0 ;,,
195,2015-5-9,http://beijing.faxinxi.cn/,来来回回;陈楚生&spy.c;90;伤感,239.0,800.69
196,2015-5-9,http://www.waaku.com/,感恩的心;欧阳菲菲;90;励志,74.0,1293.36
197,2015-8-21,http://beijing.hand2hand.cn/,加油;林俊杰/mc hotdog;90;励志,44.0,527.0
198,2015-5-14,http://www.jieu.com/,匿名的好友;杨丞琳;90;伤感,50.0,1401.67
199,2015-12-1,http://www.movie.com/bor/,《分手再说我爱你》;2015.12.24;2016.1.17;爱奇艺影业（北京）有限公司、太阳娱乐文化有限公司、无限动力实业有限公司;叶念琛;方力申，邓丽欣;爱情、剧情;票房（万）1273.2 ;6.5 ;,,
200,2015-12-23,http://www.movie.com/bor/,《爱情魔发师》;2015.7.17;2015.8.2;北京仁和博纳文化传媒有限公司;倾海;游游，张燃，朱咪咪，黄一飞，崔浩博，王子轩;喜剧 / 爱情;票房（万）20.3 ;3.8 ;,,
201,2015-7-31,http://beijing.faxinxi.cn/,数鸭子;少儿歌曲;90;儿歌,11.0,1701.97
202,2015-3-21,http://info.tianya.cn,屋顶;温岚;80;励志,76.0,309.84
203,2015-6-10,http://www.favolist.com/,空壳;陈慧敏;90;伤感,153.0,700.36
204,2015-3-15,http://www.wuhan58.com/index.php,我;张国荣;80;励志,71.0,1381.53
205,2015-8-7,http://www.99inf.com/,太阳星辰;张学友;80;励志,50.0,1309.81
206,2015-4-27,http://www.alifenfen.com/,小兔子乖乖;小蓓蕾组合;90;儿歌,101.0,1332.79
207,2015-5-24,http://www.qudee.com/,给所有知道我名字的人;赵传;80;励志,181.0,1780.02
208,2015-7-3,http://beijing.faxinxi.cn/,太阳星辰;张学友;80;励志,135.0,1358.12
209,2015-12-1,http://www.movie.com/dor/,《冲上云霄》;2015.2.19;2015.3.29;寰亚电影制作有限公司;叶伟信，邹凯光;古天乐，郑秀文，吴镇宇，张智霖，佘诗曼，郭采洁;剧情，爱情;票房（万）15631.3 ;4.4 ;,,
210,2015-7-6,http://beijing.faxinxi.cn/,空壳;陈慧敏;90;伤感,109.0,345.37
211,2015-7-12,http://www.mouxiao.com/,光辉岁月;beyond;80;励志,74.0,462.82
212,2015-8-8,http://www.99inf.com/,借过;容祖儿;90;伤感,216.0,787.97
